_id,name,cust_code,latitude,longitude
5dcab4306f739341eacda585,DILIP OPTICALS,C2005D0224,15.60961228,73.826284
5de6147f921da363eed257dd,POSH OPTICIANS,C2001P0510,22.02328123,79.99999993
5de771de67566f664d0ab0af,SHREE OPTICAL,C2001S0614,16.9937282,73.29326671
5de7a3a567566f664d0ab0b1,I CARE OPTICIANS,C2001I0501,19.12057844,72.84928635
5de9084f67566f664d0ab0ba,YASH OPTICS,C2001Y0021,19.01709864,72.82254305
5dea013467566f664d0ab0c0,EYE-CON OPTICAL,C2021E0061,19.86525372,75.34911454
5dea060267566f664d0ab0c1,SUNAYAN OPTICS,C2001S0545,21.79930878,79.49999426
5dea107667566f664d0ab0c4,SAKSHI OPTICALS,C2021S0301,19.85552911,75.35074767
5dea12c467566f664d0ab0c6,VAMSEE KRISHNA OPTICALS,C2102V0014,14.45463101,79.98380877
5def3d355adab31c18cea6d8,4UG OPTIK,C200140001,13.02968447,77.57071584
5def3d355adab31c18cea6d9,AL FALAH EYE CARE,C2001A0210,19.18823942,72.81997517
5def3d355adab31c18cea6da,AMBAJI OPTICS AND CONTACT LENS CLINIC,C2001A0211,19.31314085,72.85579406
5def3d355adab31c18cea6db,ARPIT OPTICAL,C2001A0212,19.30680339,72.85184987
5def3d355adab31c18cea6dc,APNA OPTICS,C2001A0213,19.07305091,72.91659907
5def3d355adab31c18cea6dd,ARSHAD OPTICS,C2001A0214,19.18609031,72.81753
5def3d355adab31c18cea6df,ASHWINI OPTICALS,C2001A0216,19.28297232,72.86724038
5def3d355adab31c18cea6e0,AARTI OPTICS,C2001A0217,19.12075837,72.84844413
5def3d355adab31c18cea6e1,ARIHANT EYE CARE,C2001A0218,19.08755406,72.90360544
5def3d355adab31c18cea6e2,ALFA OPTICS,C2001A0219,19.12187185,72.84604054
5def3d355adab31c18cea6e3,ABDUL RAHIM,C2001A0220,19.18856684,72.82183629
5def3d355adab31c18cea6e4,A1 OPTICS,C2001A0221,19.12021731,72.84634497
5def3d355adab31c18cea6e5,AMRUT OPTICS,C2001A0222,19.12323715,72.84405939
5def3d355adab31c18cea6e6,AAKASH OPTICS,C2001A0223,19.16097839,72.93241672
5def3d355adab31c18cea6e7,AVNI OPTICS,C2001A0224,19.23222312,72.84677681
5def3d355adab31c18cea6e8,AHMEDI OPTICS,C2001A0225,19.08792287,72.88784947
5def3d355adab31c18cea6ea,ASIA OPTICALS,C2001A0227,19.0435505,72.8575214
